L,final_accuracy,final_loss,best_accuracy,best_loss
10,0.434,,0.4503,1.5986666666666667
16,0.4738,,0.4738,1.5786666666666669
20,0.4658,,0.4697,1.5463333333333331
25,0.3975,,0.4004,1.748
32,0.4678,,0.4718,1.5513333333333332
3,0.3227,,0.3346,1.9033333333333333
7,0.2678,,0.2926,1.913
26,0.2822,,0.2875,1.9306666666666665
30,0.2699,,0.2991,1.9903333333333333
