L10_accuracy,L10_loss,L16_accuracy,L16_loss,L20_accuracy,L20_loss,L25_accuracy,L25_loss,L32_accuracy,L32_loss,L40_accuracy,L40_loss,L50_accuracy,L50_loss,L64_accuracy,L64_loss,L3_accuracy,L3_loss,L7_accuracy,L7_loss,L26_accuracy,L26_loss,L30_accuracy,L30_loss,L36_accuracy,L36_loss,L48_accuracy,L48_loss
0.7703,0.11533333333333334,0.7719,0.085,0.7609,0.09033333333333333,0.7732,0.09633333333333334,0.7633,0.103,0.7729,0.07966666666666666,0.7818,0.07733333333333332,0.7657,0.10566666666666667,0.7612,0.08633333333333333,0.7754,0.08133333333333333,0.7632,0.10766666666666667,0.7772,0.079,0.7792,0.07333333333333332,0.7593,0.08166666666666667
0.7745,0.107,0.7748,0.08,0.7598,0.08433333333333333,0.7727,0.08833333333333333,0.7615,0.09833333333333334,0.7726,0.074,0.78,0.07166666666666666,0.7674,0.09866666666666668,0.7622,0.07833333333333332,0.7724,0.076,0.7682,0.10066666666666667,0.7754,0.07233333333333335,0.7794,0.06966666666666667,0.7599,0.07466666666666666
0.7711,0.09933333333333334,0.773,0.07466666666666666,0.7633,0.07866666666666666,0.772,0.08366666666666667,0.7656,0.09166666666666667,0.7716,0.06766666666666667,0.7804,0.06766666666666667,0.7626,0.09100000000000001,0.7613,0.07366666666666666,0.7698,0.07066666666666667,0.7655,0.09566666666666668,0.7751,0.06633333333333334,0.7789,0.06366666666666666,0.7572,0.06933333333333334
0.7676,0.09533333333333334,0.7727,0.069,0.7616,0.07333333333333332,0.7676,0.077,0.7644,0.08566666666666667,0.7732,0.063,0.7801,0.06366666666666666,0.7647,0.08533333333333333,0.7607,0.06933333333333334,0.7743,0.06633333333333334,0.7662,0.08900000000000001,0.775,0.063,0.7759,0.058666666666666666,0.7555,0.06633333333333334
0.7663,0.08966666666666667,0.7714,0.06533333333333334,0.7651,0.069,0.771,0.075,0.7646,0.08066666666666666,0.7731,0.061,0.7793,0.06,0.7617,0.081,0.7626,0.064,0.7691,0.06266666666666666,0.7639,0.083,0.7744,0.06066666666666667,0.7767,0.05466666666666667,0.7561,0.061
0.7687,0.084,0.7725,0.06133333333333333,0.7624,0.06366666666666666,0.7734,0.068,0.7637,0.075,0.774,0.056,0.7775,0.056666666666666664,0.7616,0.07566666666666666,0.7621,0.057999999999999996,0.7736,0.05833333333333333,0.7645,0.07866666666666666,0.7718,0.05633333333333334,0.7773,0.052,0.7578,0.05733333333333334
0.767,0.079,0.771,0.057999999999999996,0.7626,0.059666666666666666,0.7691,0.06466666666666666,0.7623,0.07033333333333334,0.775,0.05333333333333334,0.7754,0.051666666666666666,0.7633,0.07133333333333335,0.7609,0.05466666666666667,0.7707,0.05333333333333334,0.7662,0.07333333333333335,0.7736,0.051333333333333335,0.7774,0.049999999999999996,0.7576,0.055
0.7671,0.074,0.7736,0.052333333333333336,0.7625,0.056,0.768,0.06033333333333333,0.7623,0.066,0.7721,0.051,0.7783,0.050333333333333334,0.7618,0.06633333333333334,0.7592,0.051666666666666666,0.7687,0.051666666666666666,0.7672,0.07100000000000001,0.7784,0.04766666666666667,0.7756,0.04700000000000001,0.7567,0.04866666666666667
0.769,0.07,0.769,0.05066666666666667,0.7622,0.052,0.7707,0.057333333333333326,0.7632,0.06133333333333333,0.7708,0.04766666666666667,0.7782,0.04766666666666667,0.7595,0.06166666666666667,0.7574,0.04833333333333334,0.7685,0.04866666666666667,0.7648,0.06533333333333334,0.777,0.046000000000000006,0.779,0.042666666666666665,0.7563,0.04733333333333334
0.7668,0.066,0.7713,0.04733333333333334,0.7622,0.04900000000000001,0.767,0.05333333333333334,0.7599,0.05733333333333334,0.7728,0.044333333333333336,0.7763,0.043666666666666666,0.7603,0.058666666666666666,0.7567,0.04633333333333334,0.7668,0.04633333333333334,0.7665,0.06066666666666667,0.7753,0.042666666666666665,0.7746,0.04033333333333333,0.7561,0.046000000000000006
0.77,0.05933333333333333,0.7704,0.042333333333333334,0.7636,0.04466666666666667,0.7696,0.04933333333333334,0.7638,0.051333333333333335,0.7767,0.04033333333333333,0.7793,0.03933333333333333,0.7631,0.051333333333333335,0.7614,0.044000000000000004,0.7674,0.04133333333333333,0.7656,0.05666666666666667,0.7744,0.039,0.7768,0.03733333333333333,0.7579,0.04066666666666666
0.7686,0.059,0.7749,0.042,0.7623,0.044333333333333336,0.7692,0.046000000000000006,0.767,0.051666666666666666,0.7736,0.04033333333333333,0.7776,0.03866666666666666,0.7623,0.05266666666666667,0.7588,0.041666666666666664,0.7683,0.042666666666666665,0.7665,0.054,0.7773,0.03933333333333333,0.7761,0.035333333333333335,0.7551,0.03966666666666666
0.766,0.058666666666666666,0.7722,0.04066666666666666,0.7659,0.042666666666666665,0.7701,0.04633333333333334,0.7621,0.051333333333333335,0.7733,0.039,0.7754,0.04033333333333333,0.7637,0.051333333333333335,0.7586,0.04033333333333333,0.771,0.04033333333333333,0.7665,0.054,0.7742,0.038,0.7787,0.03666666666666666,0.7554,0.03866666666666666
0.7672,0.058666666666666666,0.7739,0.041666666666666664,0.7637,0.042666666666666665,0.7703,0.04733333333333334,0.7626,0.04933333333333334,0.7724,0.039,0.7791,0.039,0.7653,0.051,0.7596,0.04,0.7702,0.03966666666666666,0.767,0.054,0.7779,0.03833333333333333,0.7769,0.035333333333333335,0.7558,0.03866666666666666
0.7696,0.057333333333333326,0.7719,0.04,0.7593,0.043333333333333335,0.77,0.04566666666666667,0.7623,0.04933333333333334,0.7736,0.03866666666666666,0.7769,0.03966666666666666,0.7624,0.04933333333333334,0.7593,0.04,0.7727,0.039,0.7671,0.05266666666666667,0.7751,0.03733333333333333,0.7777,0.036,0.758,0.03966666666666666
0.7672,0.05566666666666667,0.7723,0.04066666666666666,0.7608,0.042333333333333334,0.7694,0.04566666666666667,0.7645,0.04900000000000001,0.7745,0.03833333333333333,0.7773,0.03866666666666666,0.7622,0.04900000000000001,0.7624,0.03933333333333333,0.7698,0.04,0.7647,0.05366666666666667,0.7766,0.03866666666666666,0.7764,0.03466666666666667,0.7594,0.03966666666666666
0.7714,0.05566666666666667,0.7748,0.04066666666666666,0.7612,0.041,0.7715,0.044333333333333336,0.7598,0.04866666666666667,0.7741,0.038,0.7781,0.037,0.7606,0.05000000000000001,0.7614,0.04,0.7682,0.03933333333333333,0.7666,0.050333333333333334,0.7761,0.03666666666666666,0.7785,0.03466666666666667,0.7582,0.038
0.7669,0.055,0.7733,0.03966666666666666,0.7632,0.041666666666666664,0.7726,0.045000000000000005,0.7614,0.04800000000000001,0.7749,0.038,0.7776,0.03766666666666666,0.761,0.04900000000000001,0.7617,0.03966666666666666,0.7666,0.04,0.7642,0.051666666666666666,0.776,0.03766666666666666,0.7771,0.034,0.7576,0.03766666666666666
0.7669,0.05566666666666667,0.7733,0.03966666666666666,0.7626,0.041,0.7697,0.04566666666666667,0.7648,0.04733333333333334,0.7759,0.03833333333333333,0.7777,0.037,0.7615,0.05033333333333334,0.7594,0.03966666666666666,0.7684,0.03833333333333333,0.7669,0.051666666666666666,0.7725,0.03666666666666666,0.7769,0.034,0.7571,0.037
0.767,0.054,0.7738,0.03933333333333333,0.7624,0.04133333333333333,0.7732,0.043666666666666666,0.762,0.04900000000000001,0.7725,0.035333333333333335,0.7788,0.036666666666666674,0.7618,0.04933333333333334,0.7589,0.039,0.7704,0.038,0.7636,0.051333333333333335,0.7761,0.03733333333333333,0.7774,0.034,0.7577,0.03666666666666666
0.7669,0.05366666666666667,0.7721,0.03966666666666666,0.7637,0.042,0.7696,0.04466666666666667,0.7616,0.04800000000000001,0.7724,0.03733333333333333,0.7804,0.037,0.7602,0.04900000000000001,0.7621,0.039,0.769,0.03833333333333333,0.7679,0.04966666666666667,0.7746,0.03733333333333333,0.7771,0.033,0.7586,0.03666666666666666
0.7683,0.05333333333333334,0.7718,0.03933333333333333,0.7618,0.041,0.7726,0.04466666666666667,0.7647,0.04666666666666667,0.7734,0.037,0.7751,0.036333333333333336,0.7602,0.049666666666666665,0.7573,0.03833333333333333,0.7673,0.03766666666666666,0.7647,0.051666666666666666,0.7733,0.036000000000000004,0.7759,0.03366666666666667,0.7569,0.037333333333333336
0.77,0.05333333333333334,0.7745,0.03933333333333333,0.7632,0.04066666666666666,0.7685,0.043333333333333335,0.765,0.04666666666666667,0.7732,0.036333333333333336,0.7781,0.036,0.7615,0.04800000000000001,0.7586,0.03733333333333333,0.7674,0.03766666666666666,0.7651,0.052,0.7751,0.036000000000000004,0.7764,0.03466666666666667,0.7571,0.037
0.7671,0.054,0.7706,0.039,0.7627,0.04033333333333333,0.7698,0.043666666666666666,0.7628,0.04666666666666667,0.7737,0.03633333333333333,0.7777,0.036000000000000004,0.7649,0.04700000000000001,0.7606,0.03766666666666666,0.7693,0.03666666666666666,0.7678,0.050666666666666665,0.7754,0.03733333333333333,0.7757,0.034333333333333334,0.76,0.03666666666666666
0.7689,0.05333333333333334,0.7699,0.03866666666666666,0.7642,0.041,0.7743,0.043666666666666666,0.7643,0.04633333333333334,0.776,0.03666666666666666,0.7773,0.03733333333333333,0.7618,0.04700000000000001,0.7589,0.038,0.7688,0.039,0.7656,0.05033333333333334,0.7744,0.03566666666666667,0.7766,0.03333333333333333,0.758,0.03633333333333333
0.7672,0.05333333333333334,0.7736,0.038,0.7622,0.03966666666666666,0.7665,0.042666666666666665,0.7629,0.046000000000000006,0.7761,0.035666666666666666,0.7759,0.035666666666666666,0.763,0.04633333333333334,0.7583,0.03766666666666666,0.7681,0.03733333333333333,0.7648,0.050333333333333334,0.7756,0.03466666666666667,0.7767,0.03266666666666667,0.7574,0.036
0.7684,0.053,0.774,0.03766666666666666,0.7635,0.04,0.7719,0.043333333333333335,0.7649,0.04633333333333334,0.7727,0.036333333333333336,0.7779,0.03666666666666666,0.7613,0.046000000000000006,0.7602,0.035333333333333335,0.7689,0.03666666666666666,0.7662,0.04933333333333334,0.7747,0.03466666666666667,0.7783,0.03366666666666667,0.7571,0.03566666666666667
0.767,0.052,0.7729,0.03766666666666666,0.7625,0.04066666666666666,0.7697,0.043333333333333335,0.7615,0.04566666666666667,0.7756,0.035333333333333335,0.7762,0.036,0.7637,0.04666666666666667,0.759,0.03766666666666666,0.77,0.03766666666666666,0.7675,0.05000000000000001,0.7761,0.03566666666666667,0.7792,0.033,0.757,0.03566666666666667
0.7673,0.053,0.7741,0.03766666666666666,0.7628,0.04,0.7708,0.042666666666666665,0.7633,0.04566666666666667,0.7761,0.035,0.777,0.036000000000000004,0.7599,0.04566666666666667,0.7572,0.03666666666666666,0.7679,0.03733333333333333,0.7709,0.04766666666666667,0.773,0.03566666666666667,0.7772,0.033,0.7581,0.03566666666666667
0.768,0.052,0.7711,0.03766666666666666,0.7625,0.03966666666666666,0.7693,0.043000000000000003,0.7641,0.04533333333333334,0.7733,0.03633333333333333,0.7776,0.03666666666666666,0.7617,0.046000000000000006,0.7623,0.037,0.7694,0.037,0.7671,0.04866666666666667,0.7732,0.035333333333333335,0.7788,0.033,0.7575,0.036000000000000004
0.7671,,0.7703,,0.7632,,0.7704,,0.7612,,0.7745,,0.7785,,0.7594,,0.7604,,0.7671,,0.7678,,0.772,,0.7791,,0.7566,
0.7671,,0.7726,,0.7658,,0.7698,,0.7636,,0.7731,,0.7778,,0.7613,,0.7618,,0.7686,,0.7685,,0.7728,,0.7761,,0.7577,
